no,printed_column,column,printed_row,printed,value,page,note
7a,7a*,Fe2O3,Fe2O3,1·80,1.80,361,
7a,7a*,FeO,FeO,10·09,10.09,361,
7a,7a*,MnO,MnO,0·18,0.18,361,
7a,7a*,MgO,MgO,6·57,6.57,361,
7a,7a*,CaO,CaO,10·65,10.65,361,
7a,7a*,Na2O,Na2O,2·52,2.52,361,
7a,7a*,K2O,K2O,0·69,0.69,361,
7a,7a*,H2O+,H2O+,0·04,0.04,361,
7a,7a*,H2O-,H2O-,nil,0,361,"printed ""nil""; entered as 0"
7a,7a*,P2O5,P2O5,0·30,0.30,361,
7a,7a*,TiO2,TiO2,3·26,3.26,361,
7a,7a*,Cr2O3,Cr2O3,0·04,0.04,361,
7a,7a*,SrO,SrO,n.d.,,361,
7a,7a*,NiO,NiO,n.d.,,361,
7a,7a*,CO2,CO2,n.d.,,361,
7a,7a*,SO3,SO3,n.d.,,361,
7a,7a*,total,TOTAL,100·45,100.45,361,
7a,7a*,n_Qz,Qz,1·80,1.80,361,
7a,7a*,n_Or,Or,3·89,3.89,361,
7a,7a*,n_Ab,Ab,20·96,20.96,361,
7a,7a*,n_Ne,Ne,—,,361,
7a,7a*,n_An,An,24·74,24.74,361,
7a,7a*,n_Di,Di,21·61,21.61,361,
7a,7a*,n_Hy,Hy,17·82,17.82,361,
7a,7a*,n_Ol,Ol,—,,361,
7a,7a*,n_Mt,Mt,2·55,2.55,361,
7a,7a*,n_Il,Il,6·08,6.08,361,
7a,7a*,n_Ap,Ap,0·67,0.67,361,
7a,7a*,n_Ct,Ct,—,,361,
7a,7a*,n_Cs,Cs,—,,361,
7a,7a*,n_Ks,Ks,—,,361,
7a,7a*,n_Rest,Rest,0·08,0.08,361,"""Rest"" row of the printed norm"
7a,7a*,n_total,TOTAL,100·20,100.20,361,
8,8,SiO2,SiO2,50·85,50.85,361,
8,8,Al2O3,Al2O3,15·30,15.30,361,
8,8,Fe2O3,Fe2O3,0·28,0.28,361,
8,8,FeO,FeO,10·42,10.42,361,
8,8,MnO,MnO,0·10,0.10,361,
8,8,MgO,MgO,7·80,7.80,361,
8,8,CaO,CaO,11·45,11.45,361,
8,8,Na2O,Na2O,0·70,0.70,361,
8,8,K2O,K2O,0·58,0.58,361,
8,8,H2O+,H2O+,0·18,0.18,361,
8,8,H2O-,H2O-,tr.,0,361,"printed ""tr.""; entered as 0"
8,8,P2O5,P2O5,0·22,0.22,361,
8,8,TiO2,TiO2,1·55,1.55,361,
8,8,Cr2O3,Cr2O3,0·05,0.05,361,
8,8,SrO,SrO,n.d.,,361,
8,8,NiO,NiO,0·002,0.002,361,
8,8,CO2,CO2,n.d.,,361,
8,8,SO3,SO3,n.d.,,361,
8,8,total,TOTAL,99·48,99.48,361,
8,8,n_Qz,Qz,5·40,5.40,361,
8,8,n_Or,Or,3·34,3.34,361,
8,8,n_Ab,Ab,5·76,5.76,361,
8,8,n_Ne,Ne,—,,361,
8,8,n_An,An,36·97,36.97,361,
8,8,n_Di,Di,15·98,15.98,361,
8,8,n_Hy,Hy,28·00,28.00,361,
8,8,n_Ol,Ol,—,,361,
8,8,n_Mt,Mt,0·46,0.46,361,
8,8,n_Il,Il,2·89,2.89,361,
8,8,n_Ap,Ap,0·34,0.34,361,
8,8,n_Ct,Ct,—,,361,
8,8,n_Cs,Cs,—,,361,
8,8,n_Ks,Ks,—,,361,
8,8,n_Rest,Rest,0·18,0.18,361,"""Rest"" row of the printed norm"
8,8,n_total,TOTAL,99·32,99.32,361,
9,9,SiO2,SiO2,50·04,50.04,361,
9,9,Al2O3,Al2O3,13·68,13.68,361,
9,9,Fe2O3,Fe2O3,2·29,2.29,361,
9,9,FeO,FeO,9·05,9.05,361,
9,9,MnO,MnO,0·17,0.17,361,
9,9,MgO,MgO,7·61,7.61,361,
9,9,CaO,CaO,11·38,11.38,361,
9,9,Na2O,Na2O,2·24,2.24,361,
9,9,K2O,K2O,0·57,0.57,361,
9,9,H2O+,H2O+,0·00,0.00,361,
9,9,H2O-,H2O-,0·02,0.02,361,
9,9,P2O5,P2O5,0·27,0.27,361,
9,9,TiO2,TiO2,2·76,2.76,361,
9,9,Cr2O3,Cr2O3,n.d.,,361,
9,9,SrO,SrO,n.d.,,361,
9,9,NiO,NiO,n.d.,,361,
9,9,CO2,CO2,0·06,0.06,361,
9,9,SO3,SO3,n.d.,,361,
9,9,total,TOTAL,100·14,100.14,361,
9,9,n_Qz,Qz,1·47,1.47,361,
9,9,n_Or,Or,3·34,3.34,361,
9,9,n_Ab,Ab,18·92,18.92,361,
9,9,n_Ne,Ne,—,,361,
9,9,n_An,An,25·58,25.58,361,
9,9,n_Di,Di,23·41,23.41,361,
9,9,n_Hy,Hy,18·12,18.12,361,
9,9,n_Ol,Ol,—,,361,
9,9,n_Mt,Mt,3·31,3.31,361,
9,9,n_Il,Il,5·24,5.24,361,
9,9,n_Ap,Ap,0·64,0.64,361,
9,9,n_Ct,Ct,0·14,0.14,361,
9,9,n_Cs,Cs,—,,361,
9,9,n_Ks,Ks,—,,361,
9,9,n_Rest,Rest,0·02,0.02,361,"""Rest"" row of the printed norm"
9,9,n_total,TOTAL,100·19,100.19,361,
10,10,SiO2,SiO2,50·04,50.04,361,
10,10,Al2O3,Al2O3,14·02,14.02,361,
10,10,Fe2O3,Fe2O3,1·72,1.72,361,
10,10,FeO,FeO,9·45,9.45,361,
10,10,MnO,MnO,0·17,0.17,361,
10,10,MgO,MgO,6·93,6.93,361,
10,10,CaO,CaO,11·54,11.54,361,
10,10,Na2O,Na2O,2·42,2.42,361,
10,10,K2O,K2O,0·57,0.57,361,
10,10,H2O+,H2O+,0·10,0.10,361,
10,10,H2O-,H2O-,nil,0,361,"printed ""nil""; entered as 0"
10,10,P2O5,P2O5,0·26,0.26,361,
10,10,TiO2,TiO2,3·02,3.02,361,
10,10,Cr2O3,Cr2O3,n.d.,,361,
10,10,SrO,SrO,n.d.,,361,
10,10,NiO,NiO,n.d.,,361,
10,10,CO2,CO2,n.d.,,361,
10,10,SO3,SO3,n.d.,,361,
10,10,total,TOTAL,100·24,100.24,361,
10,10,n_Qz,Qz,0·87,0.87,361,
10,10,n_Or,Or,3·34,3.34,361,
10,10,n_Ab,Ab,20·44,20.44,361,
10,10,n_Ne,Ne,—,,361,
10,10,n_An,An,25·58,25.58,361,
10,10,n_Di,Di,24·46,24.46,361,
10,10,n_Hy,Hy,16·52,16.52,361,
10,10,n_Ol,Ol,—,,361,
10,10,n_Mt,Mt,5·78,5.78,361,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
10,10,n_Il,Il,2·55,2.55,361,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
10,10,n_Ap,Ap,0·67,0.67,361,
10,10,n_Ct,Ct,—,,361,
10,10,n_Cs,Cs,—,,361,
10,10,n_Ks,Ks,—,,361,
10,10,n_Rest,Rest,0·10,0.10,361,"""Rest"" row of the printed norm"
10,10,n_total,TOTAL,100·31,100.31,361,
11,11,SiO2,SiO2,50·07,50.07,361,
11,11,Al2O3,Al2O3,13·70,13.70,361,
11,11,Fe2O3,Fe2O3,1·54,1.54,361,
11,11,FeO,FeO,9·80,9.80,361,
11,11,MnO,MnO,0·17,0.17,361,
11,11,MgO,MgO,7·10,7.10,361,
11,11,CaO,CaO,11·59,11.59,361,
11,11,Na2O,Na2O,2·39,2.39,361,
11,11,K2O,K2O,0·56,0.56,361,
11,11,H2O+,H2O+,0·05,0.05,361,
11,11,H2O-,H2O-,nil,0,361,"printed ""nil""; entered as 0"
11,11,P2O5,P2O5,0·27,0.27,361,
11,11,TiO2,TiO2,2·96,2.96,361,
11,11,Cr2O3,Cr2O3,n.d.,,361,
11,11,SrO,SrO,n.d.,,361,
11,11,NiO,NiO,n.d.,,361,
11,11,CO2,CO2,n.d.,,361,
11,11,SO3,SO3,n.d.,,361,
11,11,total,TOTAL,100·20,100.20,361,
11,11,n_Qz,Qz,0·33,0.33,361,
11,11,n_Or,Or,3·34,3.34,361,
11,11,n_Ab,Ab,20·44,20.44,361,
11,11,n_Ne,Ne,—,,361,
11,11,n_An,An,24·74,24.74,361,
11,11,n_Di,Di,25·41,25.41,361,
11,11,n_Hy,Hy,17·41,17.41,361,
11,11,n_Ol,Ol,—,,361,
11,11,n_Mt,Mt,5·62,5.62,361,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
11,11,n_Il,Il,2·21,2.21,361,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
11,11,n_Ap,Ap,0·67,0.67,361,
11,11,n_Ct,Ct,—,,361,
11,11,n_Cs,Cs,—,,361,
11,11,n_Ks,Ks,—,,361,
11,11,n_Rest,Rest,0·05,0.05,361,"""Rest"" row of the printed norm"
11,11,n_total,TOTAL,100·22,100.22,361,
12,12,SiO2,SiO2,49·43,49.43,362,
12,12,Al2O3,Al2O3,12·92,12.92,362,
12,12,Fe2O3,Fe2O3,3·14,3.14,362,
12,12,FeO,FeO,8·34,8.34,362,
12,12,MnO,MnO,0·18,0.18,362,
12,12,MgO,MgO,9·24,9.24,362,
12,12,CaO,CaO,11·02,11.02,362,
12,12,Na2O,Na2O,2·22,2.22,362,
12,12,K2O,K2O,0·52,0.52,362,
12,12,H2O+,H2O+,0·17,0.17,362,
12,12,H2O-,H2O-,0·01,0.01,362,
12,12,P2O5,P2O5,0·26,0.26,362,
12,12,TiO2,TiO2,2·85,2.85,362,
12,12,Cr2O3,Cr2O3,n.d.,,362,
12,12,SrO,SrO,n.d.,,362,
12,12,NiO,NiO,n.d.,,362,
12,12,CO2,CO2,n.d.,,362,
12,12,SO3,SO3,n.d.,,362,
12,12,total,TOTAL,100·30,100.30,362,
12,12,n_Qz,Qz,0·69,0.69,362,
12,12,n_Or,Or,3·06,3.06,362,
12,12,n_Ab,Ab,18·34,18.34,362,
12,12,n_Ne,Ne,—,,362,
12,12,n_An,An,23·77,23.77,362,
12,12,n_Di,Di,23·27,23.27,362,
12,12,n_Hy,Hy,20·26,20.26,362,
12,12,n_Ol,Ol,—,,362,
12,12,n_Mt,Mt,5·39,5.39,362,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
12,12,n_Il,Il,4·53,4.53,362,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
12,12,n_Ap,Ap,0·67,0.67,362,
12,12,n_Ct,Ct,—,,362,
12,12,n_Cs,Cs,—,,362,
12,12,n_Ks,Ks,—,,362,
12,12,n_Rest,Rest,0·18,0.18,362,"""Rest"" row of the printed norm"
12,12,n_total,TOTAL,100·16,100.16,362,
13,13,SiO2,SiO2,49·49,49.49,362,
13,13,Al2O3,Al2O3,13·14,13.14,362,
13,13,Fe2O3,Fe2O3,1·49,1.49,362,
13,13,FeO,FeO,9·83,9.83,362,
13,13,MnO,MnO,0·17,0.17,362,
13,13,MgO,MgO,8·96,8.96,362,
13,13,CaO,CaO,11·19,11.19,362,
13,13,Na2O,Na2O,2·24,2.24,362,
13,13,K2O,K2O,0·52,0.52,362,
13,13,H2O+,H2O+,0·09,0.09,362,
13,13,H2O-,H2O-,0·01,0.01,362,
13,13,P2O5,P2O5,0·26,0.26,362,
13,13,TiO2,TiO2,2·78,2.78,362,
13,13,Cr2O3,Cr2O3,n.d.,,362,
13,13,SrO,SrO,n.d.,,362,
13,13,NiO,NiO,n.d.,,362,
13,13,CO2,CO2,n.d.,,362,
13,13,SO3,SO3,n.d.,,362,
13,13,total,TOTAL,100·17,100.17,362,
13,13,n_Qz,Qz,—,,362,
13,13,n_Or,Or,3·06,3.06,362,
13,13,n_Ab,Ab,18·86,18.86,362,
13,13,n_Ne,Ne,—,,362,
13,13,n_An,An,24·19,24.19,362,
13,13,n_Di,Di,24·13,24.13,362,
13,13,n_Hy,Hy,17·97,17.97,362,
13,13,n_Ol,Ol,3·81,3.81,362,
13,13,n_Mt,Mt,5·32,5.32,362,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
13,13,n_Il,Il,2·09,2.09,362,value kept as printed; the printed Mt and Il appear transposed (Fe2O3 and TiO2 of the analysis fix Mt and Il stoichiometrically); compared crosswise in tests/test_published.py
13,13,n_Ap,Ap,0·67,0.67,362,
13,13,n_Ct,Ct,—,,362,
13,13,n_Cs,Cs,—,,362,
13,13,n_Ks,Ks,—,,362,
13,13,n_Rest,Rest,0·10,0.10,362,"""Rest"" row of the printed norm"
13,13,n_total,TOTAL,100·20,100.20,362,
14,14*,SiO2,SiO2,49·16,49.16,362,
14,14*,Al2O3,Al2O3,13·33,13.33,362,
14,14*,Fe2O3,Fe2O3,1·31,1.31,362,
14,14*,FeO,FeO,9·71,9.71,362,
14,14*,MnO,MnO,0·16,0.16,362,
14,14*,MgO,MgO,10·41,10.41,362,
14,14*,CaO,CaO,10·93,10.93,362,
14,14*,Na2O,Na2O,2·15,2.15,362,
14,14*,K2O,K2O,0·51,0.51,362,
14,14*,H2O+,H2O+,0·04,0.04,362,
14,14*,H2O-,H2O-,0·05,0.05,362,
14,14*,P2O5,P2O5,0·16,0.16,362,
14,14*,TiO2,TiO2,2·29,2.29,362,
14,14*,Cr2O3,Cr2O3,0·09,0.09,362,
14,14*,SrO,SrO,n.d.,,362,
14,14*,NiO,NiO,n.d.,,362,
14,14*,CO2,CO2,n.d.,,362,
14,14*,SO3,SO3,n.d.,,362,
14,14*,total,TOTAL,100·30,100.30,362,
14,14*,n_Qz,Qz,—,,362,
14,14*,n_Or,Or,2·78,2.78,362,
14,14*,n_Ab,Ab,17·82,17.82,362,
14,14*,n_Ne,Ne,—,,362,
14,14*,n_An,An,25·30,25.30,362,
14,14*,n_Di,Di,22·93,22.93,362,
14,14*,n_Hy,Hy,15·35,15.35,362,
14,14*,n_Ol,Ol,9·14,9.14,362,
14,14*,n_Mt,Mt,2·09,2.09,362,
14,14*,n_Il,Il,4·41,4.41,362,
14,14*,n_Ap,Ap,0·34,0.34,362,
14,14*,n_Ct,Ct,—,,362,
14,14*,n_Cs,Cs,—,,362,
14,14*,n_Ks,Ks,—,,362,
14,14*,n_Rest,Rest,0·09,0.09,362,"""Rest"" row of the printed norm"
14,14*,n_total,TOTAL,100·25,100.25,362,
15,15,SiO2,SiO2,48·50,48.50,362,
15,15,Al2O3,Al2O3,18·22,18.22,362,
15,15,Fe2O3,Fe2O3,0·26,0.26,362,
15,15,FeO,FeO,8·69,8.69,362,
15,15,MnO,MnO,0·15,0.15,362,
15,15,MgO,MgO,8·97,8.97,362,
15,15,CaO,CaO,11·58,11.58,362,
15,15,Na2O,Na2O,2·24,2.24,362,
15,15,K2O,K2O,0·09,0.09,362,
15,15,H2O+,H2O+,0·12,0.12,362,
15,15,H2O-,H2O-,0·18,0.18,362,
15,15,P2O5,P2O5,tr.,0,362,"printed ""tr.""; entered as 0"
15,15,TiO2,TiO2,0·81,0.81,362,
15,15,Cr2O3,Cr2O3,n.d.,,362,
15,15,SrO,SrO,n.d.,,362,
15,15,NiO,NiO,n.d.,,362,
15,15,CO2,CO2,n.d.,,362,
15,15,SO3,SO3,n.d.,,362,
15,15,total,TOTAL,99·81,99.81,362,
15,15,n_Qz,Qz,—,,362,
