ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
KA,n_Mt,2.32,2.32,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Ap,0.51,0.51,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Rest,0.17,0.17,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_total,99.93,99.93,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
MK,SiO2,46.01,46.01,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,Al2O3,7.96,7.96,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,Fe2O3,2.54,2.54,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,FeO,9.09,9.09,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,MnO,0.18,0.18,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,MgO,20.19,20.19,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,CaO,10.49,10.49,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,Na2O,1.26,1.26,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,K2O,0.27,0.27,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,H2O+,0.07,0.07,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,H2O-,0.03,0.03,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,TiO2,1.61,1.61,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,P2O5,0.17,0.17,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,Cr2O3,0.26,0.26,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,S,...,,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,F,...,,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,total,100.13,100.13,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Qz,...,,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Or,1.67,1.67,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
